State,Year,Quarter,district,registeredUsers
arunachal-pradesh,2018,4,lower subansiri ,1459
arunachal-pradesh,2018,4,tirap ,1684
arunachal-pradesh,2018,4,papum pare ,21342
arunachal-pradesh,2018,4,anjaw ,744
arunachal-pradesh,2018,4,lower siang ,936
arunachal-pradesh,2018,4,dibang valley ,178
arunachal-pradesh,2018,4,west kameng ,6492
arunachal-pradesh,2018,4,shi yomi ,144
arunachal-pradesh,2018,4,east kameng ,691
arunachal-pradesh,2018,4,lohit ,3588
arunachal-pradesh,2018,4,lepa rada ,548
arunachal-pradesh,2018,4,lower dibang valley ,1827
arunachal-pradesh,2018,4,longding ,923
arunachal-pradesh,2018,4,west siang ,2117
arunachal-pradesh,2018,4,kamle ,109
arunachal-pradesh,2018,4,upper siang ,868
arunachal-pradesh,2018,4,kurung kumey ,321
arunachal-pradesh,2018,4,siang ,483
arunachal-pradesh,2018,4,kra daadi ,255
arunachal-pradesh,2018,4,changlang ,4036
arunachal-pradesh,2018,4,pakke kessang ,138
arunachal-pradesh,2018,4,east siang ,4813
arunachal-pradesh,2018,4,upper subansiri ,1576
arunachal-pradesh,2018,4,tawang ,4085
arunachal-pradesh,2018,4,namsai ,2495
arunachal-pradesh,2019,1,lower subansiri ,1879
arunachal-pradesh,2019,1,tirap ,2082
arunachal-pradesh,2019,1,papum pare ,26298
arunachal-pradesh,2019,1,anjaw ,934
arunachal-pradesh,2019,1,lower siang ,1123
arunachal-pradesh,2019,1,dibang valley ,211
arunachal-pradesh,2019,1,west kameng ,8115
arunachal-pradesh,2019,1,shi yomi ,186
arunachal-pradesh,2019,1,east kameng ,876
arunachal-pradesh,2019,1,lohit ,4416
arunachal-pradesh,2019,1,lepa rada ,710
arunachal-pradesh,2019,1,lower dibang valley ,2314
arunachal-pradesh,2019,1,longding ,1152
arunachal-pradesh,2019,1,west siang ,2656
arunachal-pradesh,2019,1,kamle ,141
arunachal-pradesh,2019,1,upper siang ,1125
arunachal-pradesh,2019,1,kurung kumey ,385
arunachal-pradesh,2019,1,siang ,651
arunachal-pradesh,2019,1,kra daadi ,350
arunachal-pradesh,2019,1,changlang ,5210
arunachal-pradesh,2019,1,pakke kessang ,162
arunachal-pradesh,2019,1,east siang ,5899
arunachal-pradesh,2019,1,upper subansiri ,1906
arunachal-pradesh,2019,1,tawang ,5023
arunachal-pradesh,2019,1,namsai ,3153
